                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 1.0145,                0.55805,                0.92315,                0.90692,                0.86233,                0.89358,                 0.5507,                  1.132,                0.53514,                 1.0276,              0.0003796,              0.0003796,              0.0003796
                     96,                 1.0088,                0.55991,                0.92397,                0.86944,                0.84916,                0.88829,                0.54618,                 1.1452,                0.53683,                 1.0215,               0.000373,               0.000373,               0.000373
                     97,                 1.0156,                0.56281,                0.92427,                0.87545,                0.83043,                0.86308,                0.54002,                 1.1567,                0.55637,                 1.0308,              0.0003664,              0.0003664,              0.0003664
                     98,                 1.0052,                0.55616,                0.91961,                0.88702,                0.82167,                0.87199,                0.54558,                  1.143,                0.53589,                 1.0341,              0.0003598,              0.0003598,              0.0003598
                     99,                 1.0056,                0.56442,                0.92047,                0.87208,                0.83717,                0.86261,                0.53933,                 1.1312,                0.54288,                 1.0153,              0.0003532,              0.0003532,              0.0003532
                    100,                0.99103,                0.54362,                0.91926,                0.91188,                0.84917,                0.87611,                 0.5363,                 1.1182,                0.53571,                  1.019,              0.0003466,              0.0003466,              0.0003466
                    101,                0.99358,                0.55105,                0.91382,                 0.9057,                0.82417,                0.87597,                 0.5451,                 1.1213,                0.53625,                 1.0186,                0.00034,                0.00034,                0.00034
                    102,                 0.9856,                0.54714,                0.91524,                 0.8835,                0.84751,                 0.8778,                0.54256,                 1.1082,                 0.5345,                 1.0198,              0.0003334,              0.0003334,              0.0003334
                    103,                0.98404,                0.54997,                0.91383,                0.92027,                0.83473,                0.88577,                0.54826,                  1.115,                0.53479,                 1.0137,              0.0003268,              0.0003268,              0.0003268
                    104,                0.97921,                0.54523,                 0.9108,                0.89117,                0.84396,                0.86994,                0.54241,                 1.1161,                0.54003,                 1.0192,              0.0003202,              0.0003202,              0.0003202
                    105,                0.97209,                0.54223,                0.90975,                 0.9037,                0.83206,                0.87647,                0.54872,                 1.1222,                0.52329,                 1.0233,              0.0003136,              0.0003136,              0.0003136
                    106,                 0.9729,                0.53686,                0.91173,                0.87168,                0.85959,                0.88674,                0.54658,                 1.1137,                0.52722,                 1.0145,               0.000307,               0.000307,               0.000307
                    107,                0.96966,                0.53627,                0.90847,                 0.9072,                0.84708,                0.89655,                0.55877,                 1.1026,                0.52153,                  1.016,              0.0003004,              0.0003004,              0.0003004
                    108,                0.96751,                0.53481,                0.91019,                0.89108,                 0.8622,                0.89301,                0.56546,                 1.0926,                0.51716,                 1.0155,              0.0002938,              0.0002938,              0.0002938
                    109,                 0.9683,                0.53771,                0.91041,                0.89104,                0.83799,                0.87891,                0.54726,                 1.1012,                0.52368,                 1.0132,              0.0002872,              0.0002872,              0.0002872
